epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4148.59,1.19803,0.49799,1.35888,0.62964,0.56415,0.5342,0.29511,1.86829,0.95709,2.01677,0.0013235,0.0013235,0.0013235
43,4252.75,1.17315,0.49487,1.35658,0.67684,0.53744,0.55936,0.31344,1.82372,0.91285,1.94925,0.001307,0.001307,0.001307
44,4356.95,1.1747,0.48511,1.34119,0.62382,0.49434,0.48919,0.26564,1.85067,1.08363,1.96375,0.0012905,0.0012905,0.0012905
45,4460.85,1.17052,0.49194,1.34737,0.62605,0.5054,0.51291,0.29,1.90193,1.07352,1.99031,0.001274,0.001274,0.001274
46,4564.13,1.1546,0.47009,1.33083,0.64205,0.47042,0.49947,0.28343,1.81803,1.09512,1.94409,0.0012575,0.0012575,0.0012575
47,4667.6,1.14858,0.4693,1.32854,0.60258,0.50566,0.51749,0.28126,1.95716,1.01033,2.08857,0.001241,0.001241,0.001241
48,4771.03,1.13937,0.4691,1.32314,0.64568,0.57077,0.57153,0.31075,1.89245,0.92744,2.02272,0.0012245,0.0012245,0.0012245
49,4874.33,1.14454,0.46686,1.33593,0.5566,0.4717,0.4925,0.27126,1.86777,1.11236,2.0184,0.001208,0.001208,0.001208
50,4977.65,1.11886,0.45708,1.31739,0.57285,0.52127,0.50613,0.27194,1.87399,1.05154,1.98848,0.0011915,0.0011915,0.0011915
51,5080.58,1.12936,0.4757,1.32567,0.56603,0.50755,0.51181,0.27736,1.88878,1.09136,2.06402,0.001175,0.001175,0.001175
52,5183.95,1.11497,0.45263,1.31414,0.60447,0.50377,0.53552,0.28296,1.92338,0.98987,2.05565,0.0011585,0.0011585,0.0011585
