epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8675.61,1.2083,1.07999,1.6452,0.82075,0.76056,0.82851,0.5913,1.02976,0.75822,1.48824,0.0029705,0.0029705,0.0029705
43,8887.05,1.20759,1.0761,1.63843,0.81718,0.77256,0.83204,0.59289,1.03052,0.75308,1.48779,0.002921,0.002921,0.002921
44,9101.18,1.20312,1.06539,1.64112,0.82162,0.76919,0.83562,0.59742,1.02685,0.74506,1.48834,0.0028715,0.0028715,0.0028715
45,9332.06,1.1992,1.0578,1.62964,0.83336,0.76121,0.83742,0.59892,1.02804,0.74261,1.487,0.002822,0.002822,0.002822
46,9548.29,1.19209,1.05958,1.62722,0.8313,0.76901,0.83935,0.6024,1.02199,0.7363,1.47911,0.0027725,0.0027725,0.0027725
47,9782.54,1.19383,1.05279,1.62759,0.84398,0.76623,0.84194,0.60482,1.01694,0.73023,1.47267,0.002723,0.002723,0.002723
48,10014,1.18184,1.04217,1.61579,0.82635,0.77528,0.84202,0.60709,1.01484,0.7254,1.47175,0.0026735,0.0026735,0.0026735
49,10223.3,1.18379,1.04976,1.62522,0.83749,0.76829,0.84353,0.6085,1.00908,0.72341,1.47046,0.002624,0.002624,0.002624
50,10434.7,1.18307,1.04541,1.62454,0.8411,0.7657,0.84445,0.61,1.00524,0.71767,1.46572,0.0025745,0.0025745,0.0025745
51,10654.1,1.17138,1.02802,1.61161,0.84112,0.77331,0.84761,0.61336,0.99849,0.71051,1.46036,0.002525,0.002525,0.002525
52,10887.4,1.16356,1.01048,1.60976,0.83666,0.77725,0.84854,0.61549,0.99508,0.70577,1.45601,0.0024755,0.0024755,0.0024755
53,11122.1,1.16231,1.01199,1.60287,0.83037,0.78071,0.84765,0.61549,0.99235,0.70487,1.45157,0.002426,0.002426,0.002426
54,11347.5,1.1695,1.02126,1.61249,0.82853,0.78291,0.84866,0.61623,0.99019,0.70263,1.4496,0.0023765,0.0023765,0.0023765
55,11518.4,1.15402,1.00121,1.60278,0.82117,0.78763,0.84998,0.61946,0.98654,0.70018,1.44343,0.002327,0.002327,0.002327
56,11745.7,1.16152,0.99625,1.59627,0.83,0.78591,0.85092,0.62083,0.98327,0.69723,1.44162,0.0022775,0.0022775,0.0022775
57,11974,1.14734,0.99427,1.59176,0.83589,0.78036,0.8504,0.62231,0.98025,0.69219,1.43944,0.002228,0.002228,0.002228
58,12202.2,1.15385,0.99589,1.5946,0.82797,0.79294,0.85346,0.6254,0.97841,0.69001,1.43606,0.0021785,0.0021785,0.0021785
59,12416,1.13909,0.97121,1.58196,0.83921,0.78674,0.85413,0.62738,0.97663,0.6863,1.43471,0.002129,0.002129,0.002129
60,12609,1.14863,0.98683,1.59203,0.84076,0.78532,0.85525,0.62921,0.97422,0.68102,1.43379,0.0020795,0.0020795,0.0020795
61,12848.3,1.13145,0.96466,1.57639,0.835,0.79395,0.85655,0.63049,0.97135,0.67684,1.43079,0.00203,0.00203,0.00203
62,13068.2,1.12307,0.95478,1.57607,0.83509,0.79986,0.85755,0.63157,0.96919,0.67235,1.43051,0.0019805,0.0019805,0.0019805
63,13280.9,1.12929,0.95659,1.58021,0.83459,0.79608,0.85843,0.63318,0.96612,0.6689,1.42896,0.001931,0.001931,0.001931
64,13418.4,1.11898,0.95217,1.56665,0.83315,0.79755,0.85908,0.63467,0.96231,0.66601,1.42617,0.0018815,0.0018815,0.0018815
65,13562,1.11631,0.9482,1.5717,0.83471,0.79672,0.86023,0.63632,0.95938,0.66493,1.42495,0.001832,0.001832,0.001832
66,13701.2,1.11921,0.94493,1.57115,0.83634,0.8008,0.86089,0.6377,0.95696,0.66279,1.42247,0.0017825,0.0017825,0.0017825
67,13839.4,1.11483,0.94698,1.56644,0.83791,0.80278,0.86175,0.63834,0.95439,0.6609,1.42114,0.001733,0.001733,0.001733
68,13994.4,1.11043,0.93478,1.5609,0.83956,0.80145,0.86244,0.6392,0.95146,0.65785,1.41829,0.0016835,0.0016835,0.0016835
69,14148.7,1.10101,0.91359,1.55213,0.83434,0.80625,0.86248,0.63993,0.94941,0.65462,1.41593,0.001634,0.001634,0.001634
70,14302.9,1.10742,0.92366,1.55739,0.83619,0.80809,0.86463,0.64156,0.94689,0.65194,1.41314,0.0015845,0.0015845,0.0015845
71,14484.6,1.02742,0.75338,1.50842,0.84218,0.806,0.86586,0.64281,0.94258,0.64584,1.40926,0.001535,0.001535,0.001535
72,14613.7,1.00667,0.72676,1.49014,0.84404,0.80766,0.86676,0.64534,0.93721,0.64085,1.40497,0.0014855,0.0014855,0.0014855
73,14738.3,1.00108,0.72176,1.48646,0.84504,0.80815,0.86819,0.64705,0.93305,0.63738,1.40219,0.001436,0.001436,0.001436
74,14864.2,0.9979,0.71085,1.48264,0.84726,0.8073,0.869,0.64838,0.92929,0.63368,1.39893,0.0013865,0.0013865,0.0013865
75,14988.9,0.98821,0.70093,1.47965,0.83728,0.81794,0.87001,0.65012,0.92663,0.62953,1.39749,0.001337,0.001337,0.001337
76,15116.5,0.97747,0.69203,1.46776,0.8379,0.82106,0.8704,0.6522,0.92366,0.62636,1.39552,0.0012875,0.0012875,0.0012875
77,15242.2,0.97721,0.6905,1.46562,0.84244,0.82084,0.87218,0.65404,0.92039,0.6229,1.39304,0.001238,0.001238,0.001238
78,15366.9,0.96816,0.67989,1.45912,0.84449,0.82308,0.87304,0.6557,0.91804,0.62086,1.39147,0.0011885,0.0011885,0.0011885
79,15506.3,0.95871,0.66328,1.45405,0.84676,0.81794,0.87429,0.65774,0.91514,0.61835,1.38917,0.001139,0.001139,0.001139
80,15631.1,0.95274,0.65767,1.44841,0.84916,0.81733,0.87467,0.65884,0.91215,0.61656,1.38738,0.0010895,0.0010895,0.0010895
81,15757.4,0.95386,0.65238,1.44846,0.84992,0.81722,0.87538,0.65938,0.90899,0.61425,1.3851,0.00104,0.00104,0.00104
82,15887.2,0.94689,0.65107,1.4409,0.85165,0.81812,0.87684,0.66092,0.90702,0.61153,1.38461,0.0009905,0.0009905,0.0009905
83,16013.5,0.93945,0.63912,1.43407,0.85422,0.8175,0.87699,0.66225,0.90459,0.60944,1.3833,0.000941,0.000941,0.000941
84,16140.1,0.93381,0.63611,1.42944,0.85361,0.81768,0.87764,0.66295,0.90302,0.60796,1.38256,0.0008915,0.0008915,0.0008915
85,16265.3,0.93085,0.6317,1.42699,0.85411,0.81971,0.87843,0.66418,0.90088,0.60606,1.38098,0.000842,0.000842,0.000842
86,16407.1,0.92408,0.62568,1.42087,0.8512,0.82139,0.87898,0.6646,0.89876,0.60469,1.37889,0.0007925,0.0007925,0.0007925
87,16639.6,0.92083,0.62385,1.41689,0.85236,0.82183,0.87922,0.66551,0.89713,0.60273,1.3778,0.000743,0.000743,0.000743
88,16861.7,0.90783,0.6082,1.41262,0.84935,0.82716,0.87961,0.66595,0.89521,0.60149,1.37596,0.0006935,0.0006935,0.0006935
89,17088.7,0.90341,0.60532,1.40706,0.8517,0.82775,0.88057,0.66675,0.89287,0.60056,1.37361,0.000644,0.000644,0.000644
90,17315.3,0.90368,0.60244,1.40801,0.85149,0.83044,0.88094,0.66766,0.89184,0.59935,1.3729,0.0005945,0.0005945,0.0005945
91,17543,0.89957,0.59938,1.40562,0.85313,0.831,0.88135,0.66836,0.89013,0.59759,1.37195,0.000545,0.000545,0.000545
92,17770.3,0.89364,0.59538,1.40131,0.85379,0.83141,0.88142,0.66904,0.88856,0.59617,1.37077,0.0004955,0.0004955,0.0004955
93,17975.3,0.88456,0.58554,1.392,0.85556,0.82999,0.88142,0.66916,0.88772,0.59437,1.37017,0.000446,0.000446,0.000446
94,18099.7,0.88266,0.57967,1.39077,0.85764,0.82911,0.88184,0.66959,0.88652,0.5932,1.36937,0.0003965,0.0003965,0.0003965
95,18227.7,0.87566,0.57406,1.38558,0.85939,0.82779,0.88224,0.66989,0.88523,0.59218,1.36848,0.000347,0.000347,0.000347
96,18375.1,0.87249,0.57105,1.37947,0.86113,0.82776,0.88246,0.67094,0.88431,0.59126,1.36762,0.0002975,0.0002975,0.0002975
97,18511.8,0.87533,0.57221,1.37834,0.8613,0.82751,0.88264,0.67145,0.88322,0.59053,1.36672,0.000248,0.000248,0.000248
98,18636.6,0.86629,0.56746,1.37919,0.86028,0.82846,0.88296,0.67246,0.8825,0.58956,1.36606,0.0001985,0.0001985,0.0001985
99,18761.8,0.85828,0.5636,1.36788,0.85945,0.82858,0.88323,0.67245,0.88127,0.58881,1.36464,0.000149,0.000149,0.000149
100,18885.9,0.85754,0.55772,1.37017,0.85913,0.83143,0.88347,0.67271,0.88049,0.58804,1.36382,9.95e-05,9.95e-05,9.95e-05
